topic,avg_rating,n,std,ratings,freq,pol_points,ME,residuals,comment_length
arts,4.727781521962083,682540,0.881266771828573,[1 4 5 2 3],[  4888   4600 121734   2436   2850],1.9067014387435168,0.002090698618726889,-0.008500563818409246,246.94250886394937
arts-performing-arts,4.703887646362321,152020,0.9110393953633152,[5 1 3 4 2],[26809  1144   758  1084   609],1.894454677016182,0.004579677373560833,-0.015161248971522268,224.65353242994343
music,4.766756483664533,296900,0.8181954992672061,[5 1 2 3 4],[53736  1855   795  1051  1943],1.918491074435837,0.00294306652114076,-0.005822765995933121,203.8502526103065
arts-design,4.8113667691655175,47155,0.7191446782227038,[5 1 3 4 2],[8650  195  145  307  134],1.9224896617537908,0.006490833775586429,-0.012253481775584385,259.8459336231577
education,4.813993535619458,1109155,0.7469979083259214,[5 4 1 3 2],[205725   5006   5886   2930   2284],1.9407206386844038,0.001390181024071939,0.005363391407269269,254.097470596986
society-culture,4.546983981859082,2209370,1.1409282974667687,[5 3 2 1 4],[371234  13617  12604  30237  14182],1.8777479552994745,0.0015044308010808355,0.004814060279564103,240.64629283460897
arts-visual-arts,4.822154105060704,83190,0.6986306216985206,[1 5 4 2 3],[  325 15336   507   212   258],1.9257723284048565,0.0047474472311531,-0.011492753605815587,278.9095444163962
leisure,4.759590405264981,461920,0.8338329281990475,[5 4 1 2 3],[83535  2837  2971  1407  1634],1.9186872185659853,0.0024046050189399587,-0.003951286171093971,244.44119111534465
leisure-hobbies,4.7891896414675985,119515,0.7844962219105867,[5 1 4 3 2],[21865   690   713   339   296],1.929423084968414,0.004447620665771578,-0.00013533526232212267,251.49541898506465
arts-books,4.681932512331363,153065,0.9376745473472734,[5 4 1 3 2],[26653  1309  1235   760   656],1.8861594747329566,0.0046974511298405195,-0.018323627180973467,279.66223499820336
technology,4.529647904992891,239140,1.1424521611473095,[5 4 3 1 2],[39503  2062  1531  3176  1556],1.8603328594128963,0.0045788878032262705,-0.008548086872649074,233.46138245379277
society-culture-personal-journals,4.735194932865444,401805,0.880857852186923,[5 4 2 1 3],[72333  2010  1498  2868  1652],1.9152325132838068,0.002723618357755457,-0.001702648087348324,239.56694167568847
society-culture-relationships,4.4666236142503495,232275,1.2524779005970996,[5 3 4 2 1],[38332  1358  1234  1296  4235],1.887073512000861,0.005093507246047278,0.03292682314684581,248.2432461521903
fiction,4.603626711205226,167645,1.029613113836346,[5 4 2 1 3],[28205  1530   926  1623  1245],1.8524859077216738,0.00492863723617523,-0.0336903188814659,218.05192519908138
fiction-science-fiction,4.565837410221714,48035,1.0419586970256343,[5 2 4 1 3],[7854  342  527  425  459],1.8139897991048195,0.009317935448650476,-0.06335178164529198,229.6070573540127
arts-food,4.781106547475235,82780,0.7989759288707317,[5 1 3 4 2],[15110   485   251   474   236],1.9267939115728436,0.005442758632676504,-0.0008747866741376509,229.1462913747282
education-language-learning,4.668225172994203,26735,0.9480060336583164,[5 3 1 2 4],[4605  142  222  112  266],1.8761922573405647,0.01136368268755841,-0.02508624735988607,252.59285580699458
fiction-drama,4.537887212073074,62950,1.082147271136887,[5 2 4 1 3],[10195   449   711   645   590],1.8141382049245434,0.00845350068946848,-0.05666898392790021,215.16298649722
true-crime,4.1638572746847125,812750,1.446774669907555,[3 2 5 4 1],[  9832   9648 115868   7167  20035],1.7755828975699786,0.003145361006526564,-0.007780968721450288,262.6838572746847
health-fitness,4.788055762721588,871550,0.7986777413084248,[5 1 4 2 3],[160390   5236   3674   2306   2704],1.9346681200160634,0.0016767700899389996,0.005374785852032771,270.91475532097985
health-fitness-nutrition,4.880982481488171,110740,0.5885653307069242,[5 4 2 1 3],[21052   371   320   230   175],1.9529980133646379,0.0034664944398605977,0.001979623980747469,279.70525555354885
history,4.522414026079319,296020,1.1418338250128748,[5 1 3 4 2],[48690  3804  2277  2397  2036],1.8482028241335045,0.004113300781012343,-0.018986935581191355,242.19767245456387
